SUBDIVISION,YEAR,Parameter,ANNUAL
ARUNACHAL PRADESH,1949,Percentage departure,39.8
ARUNACHAL PRADESH,1949,No. of districts,NA
ARUNACHAL PRADESH,1950,Actual,NA
ARUNACHAL PRADESH,1950,Percentage departure,NA
ARUNACHAL PRADESH,1950,No. of districts,NA
ARUNACHAL PRADESH,1951,Actual,3354.2
ARUNACHAL PRADESH,1951,Percentage departure,-3.8
ARUNACHAL PRADESH,1951,No. of districts,NA
ARUNACHAL PRADESH,1952,Actual,2396.1
ARUNACHAL PRADESH,1952,Percentage departure,-31.3
ARUNACHAL PRADESH,1952,No. of districts,NA
ARUNACHAL PRADESH,1953,Actual,NA
ARUNACHAL PRADESH,1953,Percentage departure,NA
ARUNACHAL PRADESH,1953,No. of districts,NA
ARUNACHAL PRADESH,1957,Actual,NA
ARUNACHAL PRADESH,1957,Percentage departure,NA
ARUNACHAL PRADESH,1957,No. of districts,NA
ARUNACHAL PRADESH,1958,Actual,5063.5
ARUNACHAL PRADESH,1958,Percentage departure,45.2
ARUNACHAL PRADESH,1958,No. of districts,NA
ARUNACHAL PRADESH,1959,Actual,4195.5
ARUNACHAL PRADESH,1959,Percentage departure,20.3
ARUNACHAL PRADESH,1959,No. of districts,NA
ARUNACHAL PRADESH,1960,Actual,3709.4
ARUNACHAL PRADESH,1960,Percentage departure,6.4
ARUNACHAL PRADESH,1960,No. of districts,NA
ARUNACHAL PRADESH,1961,Actual,3676.5
ARUNACHAL PRADESH,1961,Percentage departure,5.5
ARUNACHAL PRADESH,1961,No. of districts,NA
ARUNACHAL PRADESH,1962,Actual,NA
ARUNACHAL PRADESH,1962,Percentage departure,NA
ARUNACHAL PRADESH,1962,No. of districts,NA
ARUNACHAL PRADESH,1963,Actual,4138
ARUNACHAL PRADESH,1963,Percentage departure,18.7
ARUNACHAL PRADESH,1963,No. of districts,NA
ARUNACHAL PRADESH,1964,Actual,4959.3
ARUNACHAL PRADESH,1964,Percentage departure,42.3
ARUNACHAL PRADESH,1964,No. of districts,NA
ARUNACHAL PRADESH,1965,Actual,2196.8
ARUNACHAL PRADESH,1965,Percentage departure,-37
ARUNACHAL PRADESH,1965,No. of districts,NA
ARUNACHAL PRADESH,1966,Actual,2209.6
ARUNACHAL PRADESH,1966,Percentage departure,-36.6
ARUNACHAL PRADESH,1966,No. of districts,NA
ARUNACHAL PRADESH,1967,Actual,1668.5
ARUNACHAL PRADESH,1967,Percentage departure,-52.1
ARUNACHAL PRADESH,1967,No. of districts,NA
ARUNACHAL PRADESH,1968,Actual,2139
ARUNACHAL PRADESH,1968,Percentage departure,-38.6
ARUNACHAL PRADESH,1968,No. of districts,NA
ARUNACHAL PRADESH,1969,Actual,1877.7
ARUNACHAL PRADESH,1969,Percentage departure,-46.1
ARUNACHAL PRADESH,1969,No. of districts,NA
ARUNACHAL PRADESH,1970,Actual,1973.4
ARUNACHAL PRADESH,1970,Percentage departure,-43.4
ARUNACHAL PRADESH,1970,No. of districts,NA
ARUNACHAL PRADESH,1971,Actual,2184.5
ARUNACHAL PRADESH,1971,Percentage departure,-37.3
ARUNACHAL PRADESH,1971,No. of districts,NA
ARUNACHAL PRADESH,1972,Actual,2281.3
ARUNACHAL PRADESH,1972,Percentage departure,-34.6
ARUNACHAL PRADESH,1972,No. of districts,NA
ARUNACHAL PRADESH,1973,Actual,2457.5
ARUNACHAL PRADESH,1973,Percentage departure,-29.5
ARUNACHAL PRADESH,1973,No. of districts,NA
ARUNACHAL PRADESH,1974,Actual,3063.9
ARUNACHAL PRADESH,1974,Percentage departure,-12.1
ARUNACHAL PRADESH,1974,No. of districts,NA
ARUNACHAL PRADESH,1975,Actual,2213.3
ARUNACHAL PRADESH,1975,Percentage departure,-36.5
ARUNACHAL PRADESH,1975,No. of districts,NA
ARUNACHAL PRADESH,1976,Actual,2419.5
ARUNACHAL PRADESH,1976,Percentage departure,-30.6
ARUNACHAL PRADESH,1976,No. of districts,NA
ARUNACHAL PRADESH,1977,Actual,3774.3
ARUNACHAL PRADESH,1977,Percentage departure,8.3
ARUNACHAL PRADESH,1977,No. of districts,NA
ARUNACHAL PRADESH,1978,Actual,2531
ARUNACHAL PRADESH,1978,Percentage departure,-27.4
ARUNACHAL PRADESH,1978,No. of districts,NA
ARUNACHAL PRADESH,1979,Actual,2773.6
ARUNACHAL PRADESH,1979,Percentage departure,-20.4
ARUNACHAL PRADESH,1979,No. of districts,NA
ARUNACHAL PRADESH,1980,Actual,3215.3
ARUNACHAL PRADESH,1980,Percentage departure,-7.8
ARUNACHAL PRADESH,1980,No. of districts,NA
ARUNACHAL PRADESH,1981,Actual,2790.9
ARUNACHAL PRADESH,1981,Percentage departure,-19.9
ARUNACHAL PRADESH,1981,No. of districts,NA
ARUNACHAL PRADESH,1982,Actual,2779.5
ARUNACHAL PRADESH,1982,Percentage departure,-20.3
ARUNACHAL PRADESH,1982,No. of districts,NA
ARUNACHAL PRADESH,1983,Actual,3335.3
ARUNACHAL PRADESH,1983,Percentage departure,-4.3
ARUNACHAL PRADESH,1983,No. of districts,NA
ARUNACHAL PRADESH,1984,Actual,3278
ARUNACHAL PRADESH,1984,Percentage departure,-6
ARUNACHAL PRADESH,1984,No. of districts,NA
ARUNACHAL PRADESH,1985,Actual,3266.2
ARUNACHAL PRADESH,1985,Percentage departure,-6.3
ARUNACHAL PRADESH,1985,No. of districts,NA
ARUNACHAL PRADESH,1986,Actual,2495.6
ARUNACHAL PRADESH,1986,Percentage departure,-28.4
ARUNACHAL PRADESH,1986,No. of districts,NA
ARUNACHAL PRADESH,1987,Actual,3433.2
ARUNACHAL PRADESH,1987,Percentage departure,-1.5
ARUNACHAL PRADESH,1987,No. of districts,NA
ARUNACHAL PRADESH,1988,Actual,4155.3
ARUNACHAL PRADESH,1988,Percentage departure,19.2
ARUNACHAL PRADESH,1988,No. of districts,NA
ARUNACHAL PRADESH,1989,Actual,3281.6
ARUNACHAL PRADESH,1989,Percentage departure,-5.9
ARUNACHAL PRADESH,1989,No. of districts,NA
ARUNACHAL PRADESH,1990,Actual,3604
ARUNACHAL PRADESH,1990,Percentage departure,3.4
ARUNACHAL PRADESH,1990,No. of districts,NA
ARUNACHAL PRADESH,1991,Actual,3434.4
ARUNACHAL PRADESH,1991,Percentage departure,-1.5
ARUNACHAL PRADESH,1991,No. of districts,NA
ARUNACHAL PRADESH,1992,Actual,2707
ARUNACHAL PRADESH,1992,Percentage departure,-22.4
ARUNACHAL PRADESH,1992,No. of districts,NA
ARUNACHAL PRADESH,1993,Actual,3348.9
ARUNACHAL PRADESH,1993,Percentage departure,-3.9
ARUNACHAL PRADESH,1993,No. of districts,NA
ARUNACHAL PRADESH,1994,Actual,2287.4
ARUNACHAL PRADESH,1994,Percentage departure,-34.4
ARUNACHAL PRADESH,1994,No. of districts,NA
ARUNACHAL PRADESH,1995,Actual,3068.8
ARUNACHAL PRADESH,1995,Percentage departure,-12
ARUNACHAL PRADESH,1995,No. of districts,NA
ARUNACHAL PRADESH,1996,Actual,2520.5
ARUNACHAL PRADESH,1996,Percentage departure,-27.7
ARUNACHAL PRADESH,1996,No. of districts,NA
ARUNACHAL PRADESH,1997,Actual,2274.9
ARUNACHAL PRADESH,1997,Percentage departure,-34.7
ARUNACHAL PRADESH,1997,No. of districts,NA
ARUNACHAL PRADESH,1998,Actual,3616.7
ARUNACHAL PRADESH,1998,Percentage departure,3.7
ARUNACHAL PRADESH,1998,No. of districts,NA
ARUNACHAL PRADESH,1999,Actual,2316.6
ARUNACHAL PRADESH,1999,Percentage departure,-33.5
ARUNACHAL PRADESH,1999,No. of districts,NA
ARUNACHAL PRADESH,2000,Actual,2596.8
ARUNACHAL PRADESH,2000,Percentage departure,-25.5
ARUNACHAL PRADESH,2000,No. of districts,NA
ARUNACHAL PRADESH,2001,Actual,2036
ARUNACHAL PRADESH,2001,Percentage departure,-41.6
ARUNACHAL PRADESH,2001,No. of districts,NA
ARUNACHAL PRADESH,2002,Actual,2389.2
ARUNACHAL PRADESH,2002,Percentage departure,-31.5
ARUNACHAL PRADESH,2002,No. of districts,NA
ARUNACHAL PRADESH,2003,Actual,2451.8
ARUNACHAL PRADESH,2003,Percentage departure,-29.7
ARUNACHAL PRADESH,2003,No. of districts,NA
ARUNACHAL PRADESH,2004,Actual,2545.7
ARUNACHAL PRADESH,2004,Percentage departure,-27
ARUNACHAL PRADESH,2004,No. of districts,NA
ARUNACHAL PRADESH,2005,Actual,2335.5
ARUNACHAL PRADESH,2005,Percentage departure,-33
ARUNACHAL PRADESH,2005,No. of districts,NA
ARUNACHAL PRADESH,2006,Actual,2259.6
ARUNACHAL PRADESH,2006,Percentage departure,-35.2
ARUNACHAL PRADESH,2006,No. of districts,NA
ARUNACHAL PRADESH,2007,Actual,3020.7
ARUNACHAL PRADESH,2007,Percentage departure,-13.4
ARUNACHAL PRADESH,2007,No. of districts,NA
ARUNACHAL PRADESH,2008,Actual,2244.4
ARUNACHAL PRADESH,2008,Percentage departure,-35.6
ARUNACHAL PRADESH,2008,No. of districts,NA
ARUNACHAL PRADESH,2009,Actual,1749.9
ARUNACHAL PRADESH,2009,Percentage departure,-49.8
ARUNACHAL PRADESH,2009,No. of districts,NA
ARUNACHAL PRADESH,2010,Actual,2855.7
ARUNACHAL PRADESH,2010,Percentage departure,-18.1
ARUNACHAL PRADESH,2010,No. of districts,NA
ARUNACHAL PRADESH,2011,Actual,2193.7
ARUNACHAL PRADESH,2011,Percentage departure,-37.1
ARUNACHAL PRADESH,2011,No. of districts,NA
ARUNACHAL PRADESH,2012,Actual,3440.3
ARUNACHAL PRADESH,2012,Percentage departure,-1.3
ARUNACHAL PRADESH,2012,No. of districts,NA
ARUNACHAL PRADESH,2013,Actual,2042.9
ARUNACHAL PRADESH,2013,Percentage departure,-41.4
ARUNACHAL PRADESH,2013,No. of districts,NA
ARUNACHAL PRADESH,2014,Actual,2403.2
ARUNACHAL PRADESH,2014,Percentage departure,-31.1
ARUNACHAL PRADESH,2014,No. of districts,NA
ARUNACHAL PRADESH,2015,Actual,2767.5
ARUNACHAL PRADESH,2015,Percentage departure,-20.6
ARUNACHAL PRADESH,2015,No. of districts,NA
ASSAM & MEGHALAYA,1901,Mean,2599.4
ASSAM & MEGHALAYA,1901,Standard deviation,295.1
ASSAM & MEGHALAYA,1901,Coefficient of variation,11.4
ASSAM & MEGHALAYA,1901,Actual,2498.6
ASSAM & MEGHALAYA,1901,Percentage departure,-3.9
ASSAM & MEGHALAYA,1901,No. of districts,NA
ASSAM & MEGHALAYA,1902,Actual,2952.1
ASSAM & MEGHALAYA,1902,Percentage departure,13.6
ASSAM & MEGHALAYA,1902,No. of districts,NA
ASSAM & MEGHALAYA,1903,Actual,2544.7
ASSAM & MEGHALAYA,1903,Percentage departure,-2.1
ASSAM & MEGHALAYA,1903,No. of districts,NA
ASSAM & MEGHALAYA,1904,Actual,2664.1
ASSAM & MEGHALAYA,1904,Percentage departure,2.5
ASSAM & MEGHALAYA,1904,No. of districts,NA
ASSAM & MEGHALAYA,1905,Actual,2790.6
ASSAM & MEGHALAYA,1905,Percentage departure,7.4
ASSAM & MEGHALAYA,1905,No. of districts,NA
ASSAM & MEGHALAYA,1906,Actual,2663.4
ASSAM & MEGHALAYA,1906,Percentage departure,2.5
ASSAM & MEGHALAYA,1906,No. of districts,NA
ASSAM & MEGHALAYA,1907,Actual,2521.1
ASSAM & MEGHALAYA,1907,Percentage departure,-3
ASSAM & MEGHALAYA,1907,No. of districts,NA
ASSAM & MEGHALAYA,1908,Actual,2277.8
ASSAM & MEGHALAYA,1908,Percentage departure,-12.4
ASSAM & MEGHALAYA,1908,No. of districts,NA
ASSAM & MEGHALAYA,1909,Actual,2377
ASSAM & MEGHALAYA,1909,Percentage departure,-8.6
ASSAM & MEGHALAYA,1909,No. of districts,NA
ASSAM & MEGHALAYA,1910,Actual,2887.3
ASSAM & MEGHALAYA,1910,Percentage departure,11.1
ASSAM & MEGHALAYA,1910,No. of districts,NA
ASSAM & MEGHALAYA,1911,Actual,3096.2
ASSAM & MEGHALAYA,1911,Percentage departure,19.1
ASSAM & MEGHALAYA,1911,No. of districts,NA
ASSAM & MEGHALAYA,1912,Actual,2743.5
ASSAM & MEGHALAYA,1912,Percentage departure,5.5
ASSAM & MEGHALAYA,1912,No. of districts,NA
ASSAM & MEGHALAYA,1913,Actual,2760.5
ASSAM & MEGHALAYA,1913,Percentage departure,6.2
ASSAM & MEGHALAYA,1913,No. of districts,NA
ASSAM & MEGHALAYA,1914,Actual,2343.8
ASSAM & MEGHALAYA,1914,Percentage departure,-9.8
ASSAM & MEGHALAYA,1914,No. of districts,NA
ASSAM & MEGHALAYA,1915,Actual,3165.1
ASSAM & MEGHALAYA,1915,Percentage departure,21.8
ASSAM & MEGHALAYA,1915,No. of districts,NA
ASSAM & MEGHALAYA,1916,Actual,2601.1
ASSAM & MEGHALAYA,1916,Percentage departure,0.1
ASSAM & MEGHALAYA,1916,No. of districts,NA
ASSAM & MEGHALAYA,1917,Actual,2519.9
ASSAM & MEGHALAYA,1917,Percentage departure,-3.1
ASSAM & MEGHALAYA,1917,No. of districts,NA
ASSAM & MEGHALAYA,1918,Actual,3106.8
ASSAM & MEGHALAYA,1918,Percentage departure,19.5
ASSAM & MEGHALAYA,1918,No. of districts,NA
ASSAM & MEGHALAYA,1919,Actual,2344.2
ASSAM & MEGHALAYA,1919,Percentage departure,-9.8
ASSAM & MEGHALAYA,1919,No. of districts,NA
ASSAM & MEGHALAYA,1920,Actual,2623.6
ASSAM & MEGHALAYA,1920,Percentage departure,0.9
ASSAM & MEGHALAYA,1920,No. of districts,NA
ASSAM & MEGHALAYA,1921,Actual,2999.7
ASSAM & MEGHALAYA,1921,Percentage departure,15.4
ASSAM & MEGHALAYA,1921,No. of districts,NA
ASSAM & MEGHALAYA,1922,Actual,2261.9
ASSAM & MEGHALAYA,1922,Percentage departure,-13
ASSAM & MEGHALAYA,1922,No. of districts,NA
ASSAM & MEGHALAYA,1923,Actual,2440.6
ASSAM & MEGHALAYA,1923,Percentage departure,-6.1
ASSAM & MEGHALAYA,1923,No. of districts,NA
ASSAM & MEGHALAYA,1924,Actual,2691.4
ASSAM & MEGHALAYA,1924,Percentage departure,3.5
ASSAM & MEGHALAYA,1924,No. of districts,NA
ASSAM & MEGHALAYA,1925,Actual,2550.5
ASSAM & MEGHALAYA,1925,Percentage departure,-1.9
ASSAM & MEGHALAYA,1925,No. of districts,NA
ASSAM & MEGHALAYA,1926,Actual,2511.7
ASSAM & MEGHALAYA,1926,Percentage departure,-3.4
ASSAM & MEGHALAYA,1926,No. of districts,NA
ASSAM & MEGHALAYA,1927,Actual,2793.1
ASSAM & MEGHALAYA,1927,Percentage departure,7.5
ASSAM & MEGHALAYA,1927,No. of districts,NA
ASSAM & MEGHALAYA,1928,Actual,2634.3
ASSAM & MEGHALAYA,1928,Percentage departure,1.3
ASSAM & MEGHALAYA,1928,No. of districts,NA
ASSAM & MEGHALAYA,1929,Actual,2953.8
ASSAM & MEGHALAYA,1929,Percentage departure,13.6
ASSAM & MEGHALAYA,1929,No. of districts,NA
ASSAM & MEGHALAYA,1930,Actual,2550.7
ASSAM & MEGHALAYA,1930,Percentage departure,-1.9
ASSAM & MEGHALAYA,1930,No. of districts,NA
ASSAM & MEGHALAYA,1931,Actual,2800.1
ASSAM & MEGHALAYA,1931,Percentage departure,7.7
ASSAM & MEGHALAYA,1931,No. of districts,NA
ASSAM & MEGHALAYA,1932,Actual,2888.7
ASSAM & MEGHALAYA,1932,Percentage departure,11.1
ASSAM & MEGHALAYA,1932,No. of districts,NA
ASSAM & MEGHALAYA,1933,Actual,2339.1
ASSAM & MEGHALAYA,1933,Percentage departure,-10
ASSAM & MEGHALAYA,1933,No. of districts,NA
ASSAM & MEGHALAYA,1934,Actual,3074.9
ASSAM & MEGHALAYA,1934,Percentage departure,18.3
ASSAM & MEGHALAYA,1934,No. of districts,NA
ASSAM & MEGHALAYA,1935,Actual,2678.4
ASSAM & MEGHALAYA,1935,Percentage departure,3
ASSAM & MEGHALAYA,1935,No. of districts,NA
ASSAM & MEGHALAYA,1936,Actual,2671.3
ASSAM & MEGHALAYA,1936,Percentage departure,2.8
ASSAM & MEGHALAYA,1936,No. of districts,NA
ASSAM & MEGHALAYA,1937,Actual,2324.6
ASSAM & MEGHALAYA,1937,Percentage departure,-10.6
ASSAM & MEGHALAYA,1937,No. of districts,NA
ASSAM & MEGHALAYA,1938,Actual,2786.5
ASSAM & MEGHALAYA,1938,Percentage departure,7.2
ASSAM & MEGHALAYA,1938,No. of districts,NA
ASSAM & MEGHALAYA,1939,Actual,2401.6
ASSAM & MEGHALAYA,1939,Percentage departure,-7.6
ASSAM & MEGHALAYA,1939,No. of districts,NA
ASSAM & MEGHALAYA,1940,Actual,2451.6
ASSAM & MEGHALAYA,1940,Percentage departure,-5.7
ASSAM & MEGHALAYA,1940,No. of districts,NA
ASSAM & MEGHALAYA,1941,Actual,2709.5
ASSAM & MEGHALAYA,1941,Percentage departure,4.2
ASSAM & MEGHALAYA,1941,No. of districts,NA
ASSAM & MEGHALAYA,1942,Actual,2677
ASSAM & MEGHALAYA,1942,Percentage departure,3
ASSAM & MEGHALAYA,1942,No. of districts,NA
ASSAM & MEGHALAYA,1943,Actual,2703.7
ASSAM & MEGHALAYA,1943,Percentage departure,4
ASSAM & MEGHALAYA,1943,No. of districts,NA
ASSAM & MEGHALAYA,1944,Actual,2524.3
ASSAM & MEGHALAYA,1944,Percentage departure,-2.9
ASSAM & MEGHALAYA,1944,No. of districts,NA
ASSAM & MEGHALAYA,1945,Actual,2665.7
ASSAM & MEGHALAYA,1945,Percentage departure,2.6
ASSAM & MEGHALAYA,1945,No. of districts,NA
ASSAM & MEGHALAYA,1946,Actual,2679.5
ASSAM & MEGHALAYA,1946,Percentage departure,3.1
ASSAM & MEGHALAYA,1946,No. of districts,NA
ASSAM & MEGHALAYA,1947,Actual,2643.3
ASSAM & MEGHALAYA,1947,Percentage departure,1.7
ASSAM & MEGHALAYA,1947,No. of districts,NA
ASSAM & MEGHALAYA,1948,Actual,3185.4
ASSAM & MEGHALAYA,1948,Percentage departure,22.5
ASSAM & MEGHALAYA,1948,No. of districts,NA
ASSAM & MEGHALAYA,1949,Actual,2983.4
ASSAM & MEGHALAYA,1949,Percentage departure,14.8
ASSAM & MEGHALAYA,1949,No. of districts,NA
ASSAM & MEGHALAYA,1950,Actual,2392.4
ASSAM & MEGHALAYA,1950,Percentage departure,-8
ASSAM & MEGHALAYA,1950,No. of districts,NA
ASSAM & MEGHALAYA,1951,Actual,2613.8
ASSAM & MEGHALAYA,1951,Percentage departure,0.6
ASSAM & MEGHALAYA,1951,No. of districts,NA
ASSAM & MEGHALAYA,1952,Actual,2851.3
ASSAM & MEGHALAYA,1952,Percentage departure,9.7
ASSAM & MEGHALAYA,1952,No. of districts,NA
ASSAM & MEGHALAYA,1953,Actual,2559.9
ASSAM & MEGHALAYA,1953,Percentage departure,-1.5
ASSAM & MEGHALAYA,1953,No. of districts,NA
ASSAM & MEGHALAYA,1954,Actual,2859.1
ASSAM & MEGHALAYA,1954,Percentage departure,10
ASSAM & MEGHALAYA,1954,No. of districts,NA
ASSAM & MEGHALAYA,1955,Actual,2761.2
ASSAM & MEGHALAYA,1955,Percentage departure,6.2
ASSAM & MEGHALAYA,1955,No. of districts,NA
ASSAM & MEGHALAYA,1956,Actual,2802.9
ASSAM & MEGHALAYA,1956,Percentage departure,7.8
ASSAM & MEGHALAYA,1956,No. of districts,NA
ASSAM & MEGHALAYA,1957,Actual,2257.2
ASSAM & MEGHALAYA,1957,Percentage departure,-13.2
ASSAM & MEGHALAYA,1957,No. of districts,NA
ASSAM & MEGHALAYA,1958,Actual,2626.4
ASSAM & MEGHALAYA,1958,Percentage departure,1
ASSAM & MEGHALAYA,1958,No. of districts,NA
ASSAM & MEGHALAYA,1959,Actual,2535.8
ASSAM & MEGHALAYA,1959,Percentage departure,-2.4
ASSAM & MEGHALAYA,1959,No. of districts,NA
ASSAM & MEGHALAYA,1960,Actual,2342.2
ASSAM & MEGHALAYA,1960,Percentage departure,-9.9
ASSAM & MEGHALAYA,1960,No. of districts,NA
ASSAM & MEGHALAYA,1961,Actual,2195.3
ASSAM & MEGHALAYA,1961,Percentage departure,-15.5
ASSAM & MEGHALAYA,1961,No. of districts,NA
ASSAM & MEGHALAYA,1962,Actual,2295.9
ASSAM & MEGHALAYA,1962,Percentage departure,-11.7
ASSAM & MEGHALAYA,1962,No. of districts,NA
ASSAM & MEGHALAYA,1963,Actual,2511.8
ASSAM & MEGHALAYA,1963,Percentage departure,-3.4
ASSAM & MEGHALAYA,1963,No. of districts,NA
ASSAM & MEGHALAYA,1964,Actual,2729.6
ASSAM & MEGHALAYA,1964,Percentage departure,5
ASSAM & MEGHALAYA,1964,No. of districts,NA
ASSAM & MEGHALAYA,1965,Actual,2398.9
ASSAM & MEGHALAYA,1965,Percentage departure,-7.7
ASSAM & MEGHALAYA,1965,No. of districts,NA
ASSAM & MEGHALAYA,1966,Actual,2789.3
ASSAM & MEGHALAYA,1966,Percentage departure,7.3
ASSAM & MEGHALAYA,1966,No. of districts,NA
ASSAM & MEGHALAYA,1967,Actual,2123.4
ASSAM & MEGHALAYA,1967,Percentage departure,-18.3
ASSAM & MEGHALAYA,1967,No. of districts,NA
ASSAM & MEGHALAYA,1968,Actual,2530.8
ASSAM & MEGHALAYA,1968,Percentage departure,-2.6
ASSAM & MEGHALAYA,1968,No. of districts,NA
ASSAM & MEGHALAYA,1969,Actual,2332.2
ASSAM & MEGHALAYA,1969,Percentage departure,-10.3
ASSAM & MEGHALAYA,1969,No. of districts,NA
ASSAM & MEGHALAYA,1970,Actual,3048.4
ASSAM & MEGHALAYA,1970,Percentage departure,17.3
ASSAM & MEGHALAYA,1970,No. of districts,NA
ASSAM & MEGHALAYA,1971,Actual,2315.1
ASSAM & MEGHALAYA,1971,Percentage departure,-10.9
ASSAM & MEGHALAYA,1971,No. of districts,NA
ASSAM & MEGHALAYA,1972,Actual,2379.1
ASSAM & MEGHALAYA,1972,Percentage departure,-8.5
ASSAM & MEGHALAYA,1972,No. of districts,NA
ASSAM & MEGHALAYA,1973,Actual,2672.1
ASSAM & MEGHALAYA,1973,Percentage departure,2.8
ASSAM & MEGHALAYA,1973,No. of districts,NA
ASSAM & MEGHALAYA,1974,Actual,3403.5
ASSAM & MEGHALAYA,1974,Percentage departure,30.9
ASSAM & MEGHALAYA,1974,No. of districts,NA
ASSAM & MEGHALAYA,1975,Actual,2270.6
ASSAM & MEGHALAYA,1975,Percentage departure,-12.7
ASSAM & MEGHALAYA,1975,No. of districts,NA
ASSAM & MEGHALAYA,1976,Actual,1956
ASSAM & MEGHALAYA,1976,Percentage departure,-24.8
ASSAM & MEGHALAYA,1976,No. of districts,NA
ASSAM & MEGHALAYA,1977,Actual,2616.6
ASSAM & MEGHALAYA,1977,Percentage departure,0.7
ASSAM & MEGHALAYA,1977,No. of districts,NA
ASSAM & MEGHALAYA,1978,Actual,2011.9
ASSAM & MEGHALAYA,1978,Percentage departure,-22.6
ASSAM & MEGHALAYA,1978,No. of districts,NA
ASSAM & MEGHALAYA,1979,Actual,2188.5
ASSAM & MEGHALAYA,1979,Percentage departure,-15.8
ASSAM & MEGHALAYA,1979,No. of districts,NA
ASSAM & MEGHALAYA,1980,Actual,2289.2
ASSAM & MEGHALAYA,1980,Percentage departure,-11.9
ASSAM & MEGHALAYA,1980,No. of districts,NA
ASSAM & MEGHALAYA,1981,Actual,2079.3
ASSAM & MEGHALAYA,1981,Percentage departure,-20
ASSAM & MEGHALAYA,1981,No. of districts,NA
ASSAM & MEGHALAYA,1982,Actual,2382.2
ASSAM & MEGHALAYA,1982,Percentage departure,-8.4
ASSAM & MEGHALAYA,1982,No. of districts,NA
ASSAM & MEGHALAYA,1983,Actual,2620
ASSAM & MEGHALAYA,1983,Percentage departure,0.8
ASSAM & MEGHALAYA,1983,No. of districts,NA
ASSAM & MEGHALAYA,1984,Actual,3157
ASSAM & MEGHALAYA,1984,Percentage departure,21.5
ASSAM & MEGHALAYA,1984,No. of districts,NA
ASSAM & MEGHALAYA,1985,Actual,2801.6
ASSAM & MEGHALAYA,1985,Percentage departure,7.8
ASSAM & MEGHALAYA,1985,No. of districts,NA
ASSAM & MEGHALAYA,1986,Actual,2592.8
ASSAM & MEGHALAYA,1986,Percentage departure,-0.3
ASSAM & MEGHALAYA,1986,No. of districts,NA
ASSAM & MEGHALAYA,1987,Actual,2921.4
ASSAM & MEGHALAYA,1987,Percentage departure,12.4
ASSAM & MEGHALAYA,1987,No. of districts,NA
ASSAM & MEGHALAYA,1988,Actual,3261.7
ASSAM & MEGHALAYA,1988,Percentage departure,25.5
ASSAM & MEGHALAYA,1988,No. of districts,NA
ASSAM & MEGHALAYA,1989,Actual,2682.1
ASSAM & MEGHALAYA,1989,Percentage departure,3.2
ASSAM & MEGHALAYA,1989,No. of districts,NA
ASSAM & MEGHALAYA,1990,Actual,2771.2
ASSAM & MEGHALAYA,1990,Percentage departure,6.6
ASSAM & MEGHALAYA,1990,No. of districts,NA
ASSAM & MEGHALAYA,1991,Actual,2838
ASSAM & MEGHALAYA,1991,Percentage departure,9.2
ASSAM & MEGHALAYA,1991,No. of districts,NA
ASSAM & MEGHALAYA,1992,Actual,2259.8
ASSAM & MEGHALAYA,1992,Percentage departure,-13.1
ASSAM & MEGHALAYA,1992,No. of districts,NA
ASSAM & MEGHALAYA,1993,Actual,2879.2
ASSAM & MEGHALAYA,1993,Percentage departure,10.8
ASSAM & MEGHALAYA,1993,No. of districts,NA
ASSAM & MEGHALAYA,1994,Actual,2121.3
ASSAM & MEGHALAYA,1994,Percentage departure,-18.4
ASSAM & MEGHALAYA,1994,No. of districts,NA
ASSAM & MEGHALAYA,1995,Actual,2886.1
ASSAM & MEGHALAYA,1995,Percentage departure,11
ASSAM & MEGHALAYA,1995,No. of districts,NA
ASSAM & MEGHALAYA,1996,Actual,2466.9
ASSAM & MEGHALAYA,1996,Percentage departure,-5.1
ASSAM & MEGHALAYA,1996,No. of districts,NA
ASSAM & MEGHALAYA,1997,Actual,2372.2
ASSAM & MEGHALAYA,1997,Percentage departure,-8.7
ASSAM & MEGHALAYA,1997,No. of districts,NA
ASSAM & MEGHALAYA,1998,Actual,2803.1
ASSAM & MEGHALAYA,1998,Percentage departure,7.8
ASSAM & MEGHALAYA,1998,No. of districts,NA
ASSAM & MEGHALAYA,1999,Actual,2594.2
ASSAM & MEGHALAYA,1999,Percentage departure,-0.2
ASSAM & MEGHALAYA,1999,No. of districts,NA
ASSAM & MEGHALAYA,2000,Actual,2487
ASSAM & MEGHALAYA,2000,Percentage departure,-4.3
ASSAM & MEGHALAYA,2000,No. of districts,NA
ASSAM & MEGHALAYA,2001,Actual,2178.4
ASSAM & MEGHALAYA,2001,Percentage departure,-16.2
ASSAM & MEGHALAYA,2001,No. of districts,NA
ASSAM & MEGHALAYA,2002,Actual,2392.7
ASSAM & MEGHALAYA,2002,Percentage departure,-8
ASSAM & MEGHALAYA,2002,No. of districts,NA
ASSAM & MEGHALAYA,2003,Actual,2434.1
ASSAM & MEGHALAYA,2003,Percentage departure,-6.4
ASSAM & MEGHALAYA,2003,No. of districts,NA
ASSAM & MEGHALAYA,2004,Actual,2994.3
ASSAM & MEGHALAYA,2004,Percentage departure,15.2
ASSAM & MEGHALAYA,2004,No. of districts,NA
ASSAM & MEGHALAYA,2005,Actual,2468.3
ASSAM & MEGHALAYA,2005,Percentage departure,-5
ASSAM & MEGHALAYA,2005,No. of districts,NA
ASSAM & MEGHALAYA,2006,Actual,1898.6
ASSAM & MEGHALAYA,2006,Percentage departure,-27
